Id,Model,Price,Age,KM,HP,Metallic,Automatic,CC,Doors,Gears,Weight
156,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11495,44,96829,110,1,0,1600,5,5,1075
157,TOYOTA Corolla 1.4 VVTI Linea Terra 2/3-Doors,11250,40,96518,97,1,0,1400,3,5,1025
158,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10500,42,92204,110,1,0,1600,5,5,1075
159,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11500,44,89757,110,1,0,1600,3,5,1045
160,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12500,40,85389,110,1,0,1600,5,5,1075
161,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,43,85017,97,0,0,1400,5,5,1060
162,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11450,41,84312,110,0,0,1600,5,5,1080
163,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,78677,110,1,1,1600,5,5,1105
164,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,78425,110,1,0,1600,5,5,1075
165,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,77321,110,1,0,1600,5,5,1075
166,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,75697,97,1,0,1400,3,5,1025
167,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,74846,97,1,0,1400,3,5,1025
168,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,74319,110,1,0,1600,5,5,1075
169,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,74285,110,1,0,1600,5,5,1075
170,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,74172,110,1,0,1600,5,5,1615
171,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,73042,110,1,0,1598,5,5,1075
172,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,71200,110,1,0,1600,5,5,1075
173,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,67805,110,1,0,1600,5,5,1075
174,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,65988,110,1,0,1600,3,5,1040
175,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,65345,97,1,0,1400,5,5,1060
176,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,64564,110,1,0,1600,5,5,1080
177,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,63459,97,1,0,1400,5,5,1060
178,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,63451,97,0,0,1400,3,5,1025
179,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,62000,110,1,0,1600,5,5,1075
180,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,61300,97,1,0,1400,3,5,1030
181,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,61200,110,1,0,1600,3,5,1045
182,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,61000,110,0,0,1600,5,5,1075
183,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,60829,110,1,0,1600,5,5,1075
184,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,60500,110,0,0,1600,5,5,1075
185,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,59000,110,0,1,1600,5,5,1110
186,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,58954,110,1,0,1600,5,5,1080
187,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,58798,110,1,0,1600,5,5,1075
188,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,58363,110,1,0,1600,3,5,1055
189,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,58277,110,1,0,1600,3,5,1045
190,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,57269,110,1,0,1600,5,5,1075
191,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,56001,110,1,0,1600,5,5,1075
192,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,55968,110,0,0,1600,3,5,1050
193,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,55678,110,1,0,1600,4,5,1030
194,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,55539,110,1,0,1600,5,5,1085
195,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,55400,110,0,0,1600,5,5,1075
196,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,55350,110,0,0,1600,5,5,1075
197,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,54600,110,0,0,1600,4,5,1030
198,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,53773,110,1,0,1600,5,5,1075
199,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,53719,110,1,1,1600,5,5,1105
200,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,53644,110,1,0,1600,5,5,1075
201,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,53350,110,0,0,1600,5,5,1075
202,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,53000,110,1,0,1600,5,5,1075
203,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,52084,97,1,0,1400,3,5,1025
204,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,52000,97,0,0,1400,3,5,1025
205,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,51945,110,1,0,1600,5,5,1075
206,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,51732,97,1,0,1400,3,5,1025
207,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,50873,110,1,0,1600,5,5,1075
208,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,50856,110,0,0,1600,4,5,1030
209,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,50640,110,1,0,1600,5,5,1075
210,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,50000,97,1,0,1400,5,5,1060
211,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,49500,110,1,0,1600,5,5,1075
212,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,49332,110,1,0,1600,5,5,1080
213,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,49291,110,1,0,1600,3,5,1040
