report_id,category,date
MOR44609,1. Seizure,2017-07-17
MOR20619,1. Seizure,2015-01-17
MOR35831,1. Seizure,2015-01-23
MOR46248,1. Seizure,2022-08-01
MOR26223,1. Seizure,2019-01-09
MOR44309,2. Poaching / Illegal Harvesting,2021-06-23
MOR5625,1. Seizure,2016-01-26
MOR11317,1. Seizure,2015-09-19
MOR17001,1. Seizure,2015-01-01
MOR30489,1. Seizure,2020-01-02
MOR54396,1. Seizure,2024-01-09
MOR30336,1. Seizure,2018-11-01
MOR30412,1. Seizure,2019-10-03
MOR12125,1. Seizure,2016-12-01
MOR20622,1. Seizure,2015-01-01
MOR46153,1. Seizure,2022-07-29
MOR24718,1. Seizure,2019-08-23
MOR36554,1. Seizure,2021-02-22
MOR31908,2. Poaching / Illegal Harvesting,2015-10-14
MOR20848,1. Seizure,2019-02-15
MOR50993,1. Seizure,2023-05-01
MOR49676,1. Seizure,2023-06-01
MOR42166,1. Seizure,2022-03-01
MOR27405,1. Seizure,2016-06-01
MOR17856,1. Seizure,2018-10-31
MOR52447,1. Seizure,2023-03-13
MOR33899,1. Seizure,2020-03-01
MOR30604,1. Seizure,2018-09-26
MOR14804,1. Seizure,2015-12-01
MOR35848,1. Seizure,2015-04-01
MOR4082,1. Seizure,2016-02-06
MOR44339,2. Poaching / Illegal Harvesting,2021-01-25
MOR33853,1. Seizure,2020-01-13
MOR31798,1. Seizure,2016-10-30
MOR19231,1. Seizure,2019-01-02
MOR13425,1. Seizure,2018-04-11
MOR48895,2. Poaching / Illegal Harvesting,2021-11-01
MOR35413,1. Seizure,2021-03-01
MOR52457,1. Seizure,2023-03-15
MOR15029,1. Seizure,2016-07-07
MOR33776,1. Seizure,2021-03-11
MOR25829,1. Seizure,2019-10-19
MOR42165,9. Enforcement Action / Prosecution,2021-09-08
MOR28586,1. Seizure,2018-11-04
MOR31778,1. Seizure,2017-04-07
MOR32951,1. Seizure,2020-04-29
MOR44925,1. Seizure,2022-04-06
MOR13984,1. Seizure,2018-03-12
MOR30433,1. Seizure,2020-07-11
MOR54153,1. Seizure,2023-12-17
MOR45136,1. Seizure,2021-10-18
MOR17894,1. Seizure,2018-11-07
MOR42054,1. Seizure,2021-12-16
MOR48350,1. Seizure,2021-09-01
MOR36940,1. Seizure,2021-07-08
MOR28977,1. Seizure,2018-12-25
MOR30399,1. Seizure,2015-01-07
MOR31925,1. Seizure,2017-07-26
MOR28682,1. Seizure,2019-09-08
MOR23776,1. Seizure,2018-03-01
MOR4967,1. Seizure,2016-05-12
MOR1147,1. Seizure,2015-05-17
MOR37767,1. Seizure,2017-09-21
MOR25784,1. Seizure,2016-07-01
MOR39141,6. Human-Wildlife Conflict,2021-03-30
MOR52029,9. Enforcement Action / Prosecution,2023-09-25
MOR4935,1. Seizure,2016-05-08
MOR10895,1. Seizure,2016-12-28
MOR42119,1. Seizure,2021-10-26
MOR43846,1. Seizure,2021-11-01
MOR15233,1. Seizure,2016-12-25
MOR4936,1. Seizure,2016-05-02
MOR14484,1. Seizure,2016-05-04
MOR17069,1. Seizure,2018-10-18
MOR36182,1. Seizure,2021-06-06
MOR33590,1. Seizure,2020-03-23
MOR44624,1. Seizure,2016-12-01
MOR29958,1. Seizure,2020-07-23
MOR7844,1. Seizure,2016-04-01
MOR30116,1. Seizure,2020-06-16
MOR37370,1. Seizure,2021-06-19
MOR42080,1. Seizure,2021-07-07
MOR31218,1. Seizure,2020-11-10
MOR3468,1. Seizure,2016-01-10
MOR25622,1. Seizure,2018-10-06
MOR29040,1. Seizure,2018-11-01
MOR15884,1. Seizure,2018-09-02
MOR33396,1. Seizure,2020-09-01
MOR45073,1. Seizure,2022-01-01
MOR26058,1. Seizure,2019-10-09
MOR5465,1. Seizure,2015-12-18
MOR35329,1. Seizure,2021-04-09
MOR15869,1. Seizure,2018-06-26
MOR35948,1. Seizure,2015-07-09
MOR36824,1. Seizure,2017-09-01
MOR18777,1. Seizure,2016-04-29
MOR34637,9. Enforcement Action / Prosecution,2021-03-24
MOR41553,2. Poaching / Illegal Harvesting,2016-02-06
MOR28573,1. Seizure,2019-08-10
MOR33593,1. Seizure,2020-03-06
MOR33353,1. Seizure,2020-08-01
MOR51466,5. Animal Injury / Mortality / Welfare,2023-09-16
MOR55740,1. Seizure,2023-11-22
MOR45902,1. Seizure,2022-08-01
MOR44451,1. Seizure,2021-03-01
MOR13981,1. Seizure,2018-01-24
MOR13844,1. Seizure,2015-01-01
MOR29960,1. Seizure,2017-11-13
MOR52458,1. Seizure,2022-07-01
MOR25277,1. Seizure,2015-02-03
MOR49659,1. Seizure,2023-01-01
MOR25921,1. Seizure,2016-06-01
MOR45438,1. Seizure,2022-07-01
MOR11996,1. Seizure,2017-10-14
MOR9795,1. Seizure,2017-07-01
MOR30654,1. Seizure,2020-09-01
MOR31473,1. Seizure,2020-11-14
MOR34583,1. Seizure,2021-04-11
MOR39491,1. Seizure,2016-08-01
MOR49959,1. Seizure,2021-09-17
MOR30700,1. Seizure,2019-05-01
MOR50238,1. Seizure,2023-01-12
MOR32214,1. Seizure,2020-09-24
MOR31543,1. Seizure,2020-09-02
MOR33906,1. Seizure,2020-03-22
MOR36606,1. Seizure,2016-04-12
MOR33694,1. Seizure,2020-02-20
MOR44386,1. Seizure,2021-02-01
MOR54670,1. Seizure,2023-12-06
MOR49803,1. Seizure,2021-04-24
MOR34210,1. Seizure,2021-03-11
MOR27327,1. Seizure,2019-05-27
MOR36337,1. Seizure,2021-05-01
MOR17857,1. Seizure,2018-11-02
MOR45219,1. Seizure,2022-07-08
MOR7074,1. Seizure,2015-03-06
MOR46447,1. Seizure,2017-02-10
MOR26626,2. Poaching / Illegal Harvesting,2016-12-19
MOR5737,1. Seizure,2016-05-14
MOR9750,1. Seizure,2015-02-09
MOR33543,1. Seizure,2020-06-29
MOR35855,1. Seizure,2015-06-01
MOR29248,1. Seizure,2016-05-27
MOR29111,1. Seizure,2020-06-21
MOR34273,1. Seizure,2021-04-05
MOR35934,1. Seizure,2015-04-08
MOR43930,2. Poaching / Illegal Harvesting,2021-04-01
MOR15209,1. Seizure,2016-06-30
MOR17102,1. Seizure,2018-10-17
MOR30529,1. Seizure,2020-02-26
MOR3482,1. Seizure,2016-01-05
MOR28242,1. Seizure,2019-10-06
MOR4356,1. Seizure,2016-04-11
MOR7264,1. Seizure,2016-10-06
MOR48212,1. Seizure,2022-12-28
MOR33436,1. Seizure,2021-02-23
MOR25310,1. Seizure,2015-05-11
MOR5501,2. Poaching / Illegal Harvesting,2016-01-12
MOR32161,1. Seizure,2020-10-21
MOR51991,1. Seizure,2023-08-13
MOR13857,1. Seizure,2016-01-25
MOR45914,1. Seizure,2022-07-28
MOR25577,1. Seizure,2018-03-11
MOR50425,1. Seizure,2021-07-16
MOR35594,1. Seizure,2021-05-15
MOR54796,1. Seizure,2023-11-07
MOR34362,1. Seizure,2015-03-09
MOR39371,1. Seizure,2021-08-01
MOR27334,1. Seizure,2019-06-13
MOR30288,1. Seizure,2020-09-22
MOR50661,1. Seizure,2023-07-24
MOR31821,1. Seizure,2020-12-13
MOR56220,9. Enforcement Action / Prosecution,2017-07-25
MOR27258,1. Seizure,2019-03-20
MOR10080,3. Smuggling / Illegal Trade (not elsewhere included),2016-05-12
MOR51239,1. Seizure,2023-08-24
MOR36096,1. Seizure,2021-06-06
MOR42896,1. Seizure,2022-04-08
MOR49771,1. Seizure,2022-11-14
MOR4080,1. Seizure,2016-01-21
MOR43779,1. Seizure,2022-03-04
MOR27274,1. Seizure,2019-04-01
MOR20994,1. Seizure,2018-07-17
MOR4849,1. Seizure,2016-03-25
MOR50471,2. Poaching / Illegal Harvesting,2016-01-10
MOR14788,1. Seizure,2016-02-22
MOR10976,1. Seizure,2015-08-29
MOR39623,1. Seizure,2021-08-22
MOR35749,1. Seizure,2021-05-24
MOR15239,1. Seizure,2016-10-26
MOR28919,1. Seizure,2017-07-01
MOR29032,1. Seizure,2018-08-22
MOR5766,1. Seizure,2015-08-12
MOR48497,1. Seizure,2023-02-06
MOR20865,1. Seizure,2019-04-19
MOR28665,1. Seizure,2019-12-07
MOR35097,1. Seizure,2016-11-09
MOR48785,1. Seizure,2022-12-14
MOR15779,1. Seizure,2018-07-01
MOR27488,1. Seizure,2019-12-09
MOR44729,1. Seizure,2015-01-01
MOR34955,9. Enforcement Action / Prosecution,2016-01-01
MOR32749,1. Seizure,2019-01-13
MOR12651,1. Seizure,2017-09-24
MOR19253,1. Seizure,2018-12-12
MOR55772,1. Seizure,2023-12-18
MOR14204,1. Seizure,2018-04-01
MOR14481,1. Seizure,2018-06-13
MOR28204,1. Seizure,2019-02-06
MOR12032,1. Seizure,2017-07-15
MOR32128,1. Seizure,2019-02-08
MOR30572,1. Seizure,2016-04-26
MOR10344,1. Seizure,2017-04-23
MOR25830,1. Seizure,2019-10-19
MOR27394,1. Seizure,2019-09-18
MOR29002,1. Seizure,2018-03-01
MOR25570,1. Seizure,2018-02-11
MOR26503,1. Seizure,2019-07-01
MOR18558,1. Seizure,2016-09-27
MOR35428,1. Seizure,2021-02-06
MOR12394,1. Seizure,2016-06-15
MOR36823,1. Seizure,2017-05-01
MOR5502,1. Seizure,2016-01-18
MOR18769,1. Seizure,2016-03-14
MOR33155,1. Seizure,2021-02-01
MOR25910,1. Seizure,2017-04-28
MOR29655,1. Seizure,2020-07-23
MOR27555,1. Seizure,2020-02-13
MOR36502,1. Seizure,2017-01-29
MOR44949,1. Seizure,2015-05-13
MOR32338,1. Seizure,2019-09-18
MOR19184,1. Seizure,2019-03-31
MOR15336,1. Seizure,2017-08-11
MOR14380,1. Seizure,2018-04-01
MOR27548,1. Seizure,2020-02-12
MOR30411,1. Seizure,2019-10-05
MOR10297,1. Seizure,2017-03-28
MOR30899,1. Seizure,2020-09-22
MOR11089,1. Seizure,2015-08-17
MOR4248,1. Seizure,2016-03-15
MOR7279,1. Seizure,2016-10-13
MOR36056,1. Seizure,2021-05-28
MOR47387,1. Seizure,2022-08-15
MOR49334,1. Seizure,2021-10-29
MOR37346,1. Seizure,2021-04-01
MOR12226,1. Seizure,2017-07-17
MOR14004,1. Seizure,2017-10-03
MOR31446,1. Seizure,2020-07-01
MOR26973,1. Seizure,2020-01-08
MOR34272,1. Seizure,2021-04-01
MOR25583,1. Seizure,2018-05-09
MOR46710,9. Enforcement Action / Prosecution,2021-05-10
MOR23463,1. Seizure,2015-02-25
MOR15920,1. Seizure,2018-04-11
MOR41532,2. Poaching / Illegal Harvesting,2016-08-10
MOR3016,1. Seizure,2015-04-13
MOR39804,1. Seizure,2021-02-24
MOR33566,1. Seizure,2020-05-23
MOR5558,1. Seizure,2016-06-16
MOR30887,1. Seizure,2020-11-06
MOR45287,1. Seizure,2022-07-04
MOR25203,1. Seizure,2019-09-25
MOR30873,1. Seizure,2020-02-19
MOR29678,1. Seizure,2015-09-12
MOR14765,1. Seizure,2018-06-13
MOR33305,1. Seizure,2015-11-11
