species,class,count
Pinon Imperial Pigeon,Aves,1
Red Junglefowl,Aves,4
North Philippine temple pitviper,Reptilia,1
Elephants,Mammalia,3164
Gidgee Skink,Reptilia,1
Bamboo Rat,Mammalia,11
Eland,Mammalia,10
Burmese Ferret-badger,Mammalia,2
Saman,Magnoliopsida,3
Raffia Palms,Liliopsida,1
Horseradishtree,Magnoliopsida,5
Acapu,Magnoliopsida,3
Grey-shanked Douc Langur,Mammalia,6
Alligator Snapping Turtle,Reptilia,8
Lemurs,Mammalia,5
Black Drongo,Aves,1
Crab,Malacostraca,12
Bearded Pig,Mammalia,7
Siberian Tiger,Mammalia,47
Spotted Hyena,Mammalia,4
Copaiba,Magnoliopsida,3
Grey-bellied Squirrel,Mammalia,2
West Mexican Chachalaca,Aves,1
African buffalo,Mammalia,29
Pangolins,Mammalia,856
Streaked Prochilod,Actinopterygii,2
Slaty-breasted Rail,Aves,1
Large-billed Seed Finch,Aves,1
Silky shark,Elasmobranchii,17
Thick-billed Green Pigeon,Aves,1
Olive-backed Sunbird,Aves,1
Borneo Short-tailed Python,Reptilia,1
Javan Slow Loris,Mammalia,5
Eurasian Collared-Dove,Aves,4
Springbok,Mammalia,3
Pacific Sharpnose Shark,Elasmobranchii,1
Skate,Elasmobranchii,1
Arboreal Alligator Lizard,Reptilia,4
Freshwater Eels,Actinopterygii,12
Borneo Pygmy Elephant,Mammalia,7
Kosipo,Magnoliopsida,1
Ekop-Beli,Magnoliopsida,5
Australian Golden Whistler,Aves,1
Philippine Sailfin Lizard,Reptilia,7
Watercock,Aves,3
Kail,Pinopsida,4
Brown-breasted Bulbul,Aves,1
European Badger,Mammalia,1
Disc Cactus,Magnoliopsida,1
Moose,Mammalia,2
Mourning Dove,Aves,1
Grant's gazelle,Mammalia,5
White-throated Magpie-Jay,Aves,3
African Star-chestnut,Magnoliopsida,1
Elephant beetle,Insecta,1
Side-striped Jackal,Mammalia,1
Yellow-rumped Marshbird,Aves,1
Corn Bunting,Aves,1
Common Goldenback,Aves,1
Smooth hammerhead shark,Elasmobranchii,3
Southern reedbuck,Mammalia,2
Indian Gazelle,Mammalia,3
Western Roe Deer,Mammalia,3
Hooded Siskin,Aves,3
Thomson's gazelle,Mammalia,7
Andean Duck,Aves,1
Siamang,Mammalia,16
Laysan Albatross,Aves,2
Palo Santo,Magnoliopsida,6
Cantil,Reptilia,1
Makassar Ebony,Magnoliopsida,2
Chestnut Wood Quail,Aves,1
Caribou,Mammalia,3
Surinam Cherry,Magnoliopsida,1
Beale's Eyed Turtle,Reptilia,1
Lories,Aves,3
Sailfin Lizard,Reptilia,2
Argentine Horned Frog,Amphibia,2
Brazilwood,Magnoliopsida,5
Bushpig,Mammalia,9
Eared Dove,Aves,1
Khair,Magnoliopsida,7
Black-shanked Douc Langur,Mammalia,13
Neang Nuon,Magnoliopsida,2
sralao,Magnoliopsida,3
Crowned River Turtle,Reptilia,1
jingah,Magnoliopsida,2
Florida softshell turtle,Reptilia,1
Anthony's Poison-Arrow Frog,Amphibia,1
Black Vulture,Aves,4
Northern Pig-tailed Macaque,Mammalia,10
Lechero,Magnoliopsida,2
Eastern Black-bridged Leaf Turtle,Reptilia,4
Orange-spotted Bulbul,Aves,1
Otters,Mammalia,15
Eurasian Siskin,Aves,3
Teak,Magnoliopsida,208
Freshwater Stingrays,Elasmobranchii,2
Hazel Grouse,Aves,1
Chiragra Spider Conch,Gastropoda,1
Greater Mouse-deer,Mammalia,1
Streaked Weaver,Aves,3
Also known as Oriental Water Lizard,Reptilia,1
Ipe,Magnoliopsida,4
Long-tailed Shrike,Aves,2
Sika Deer,Mammalia,8
Small Flying Squirrel,Mammalia,5
Neotropical Whip Snake,Reptilia,1
Faique,Magnoliopsida,2
Lizards,Reptilia,32
Gulf Coast Spiny Softshell,Reptilia,1
Eastern Hognose Snake,Reptilia,4
White-breasted Waterhen,Aves,10
Asian Leaf Turtle,Reptilia,7
Requia,Magnoliopsida,1
Blue wildebeest,Mammalia,5
Brazilian black,Arachnida,2
Fiddle Rays,Elasmobranchii,1
Yellowfin tuna,Actinopterygii,5
Clouded Monitor,Reptilia,3
Japanese Eel,Actinopterygii,2
Barred Buttonquail,Aves,3
Black-breasted Leaf Turtle,Reptilia,6
Javan White-eye,Aves,1
Green Imperial Pigeon,Aves,2
Malayan Civet,Mammalia,1
Coppersmith Barbet,Aves,2
Chum Salmon,Actinopterygii,1
Cedar,Pinopsida,30
Southeast Asian Leaf Turtle,Reptilia,3
Sea urchin,Echinoidea,3
Curve-billed Thrasher,Aves,1
Lesser Green Leafbird,Aves,5
Goldern Hammerhead,Elasmobranchii,2
Black walnut,Magnoliopsida,1
Lesula,Mammalia,2
Yellow-headed Temple Turtle,Reptilia,14
Little Tern,Aves,1
Pilbara Olive Python,Reptilia,1
Mayapis,Magnoliopsida,1
Arabian Gazelle,Mammalia,2
Hartebeest,Mammalia,6
Straw-necked Ibis,Aves,1
Angico,Magnoliopsida,3
Lineated Barbet,Aves,1
Golden-billed Saltator,Aves,5
Nilgai,Mammalia,5
Impala,Mammalia,37
European Golden Plover,Aves,1
Japanese White-eye,Aves,1
American Goldfinch,Aves,2
Crimson Sunbird,Aves,3
Buff-throated Saltator,Aves,1
Toog,Magnoliopsida,1
Chinese Hare,Mammalia,1
Balsa Wood,Magnoliopsida,10
Indian rosewood,Magnoliopsida,15
Chhlik,Magnoliopsida,4
Venomous Pit Vipers,Reptilia,6
Capirona blanca,Magnoliopsida,1
Mukula,Magnoliopsida,8
Horned Helmet Shell,Gastropoda,12
White-throated Kingfisher,Aves,1
Malayan night heron,Aves,2
Syrian Brown Bear,Mammalia,1
Grand Cayman Iguana,Reptilia,1
Tulpay,Magnoliopsida,4
Sable Antelope,Mammalia,12
Crested Myna,Aves,2
Mainland Grizzly Bear,Mammalia,2
Coyote,Mammalia,6
Mexican Horned Pit Viper,Reptilia,1
Bengal Slow Loris,Mammalia,6
Black Abalone,Gastropoda,1
Mantis,Insecta,3
Sumatran Tiger,Mammalia,87
Uningthou and Bonsum,Magnoliopsida,1
Nine-banded Armadillo,Mammalia,3
Oje,Magnoliopsida,1
Snaggletooth Shark,Elasmobranchii,1
Oriental Water Lizard,Reptilia,1
Japanese Seahorse,Actinopterygii,14
Sambar,Mammalia,29
Taiwan Incense-cedar,Pinopsida,1
Machimango,Magnoliopsida,4
Rufous-browed Flycatcher,Aves,1
Black-and-rufous Warbling Finch,Aves,2
Williams' Dwarf Gecko,Reptilia,1
Red-cowled Cardinal,Aves,9
Beng,Magnoliopsida,13
Dark-throated oriole,Aves,1
Vervet Monkey,Mammalia,14
Maxwell's duiker,Mammalia,3
Oriental Turtle Dove,Aves,2
Sandbar shark,Elasmobranchii,1
White-rumped Shama,Aves,49
Zebra pleco,Actinopterygii,2
Puku,Mammalia,1
Painted Bunting,Aves,8
Bulldog Ants,Insecta,1
Tabasco Mud Turtle,Reptilia,3
Sooty-headed bulbul,Aves,6
Chestnut-capped Blackbird,Aves,2
Thrushes,Aves,9
Mozambique Spitting Cobra,Reptilia,2
Oriental Magpie-Robin,Aves,42
Indonesia Honeyeater,Aves,1
Olive-winged Bulbul,Aves,1
Peyote,Magnoliopsida,3
Great Kiskadee,Aves,2
Lady Amherst's Pheasant,Aves,2
Northern Mockingbird,Aves,8
Brown-backed Solitaire,Aves,5
Organ-pipe Coral,Anthozoa,2
Andaman Padauk,Magnoliopsida,8
Kirk's dik-dik,Mammalia,3
Harandrato,Magnoliopsida,1
Capirona,Magnoliopsida,5
Blue Shark,Elasmobranchii,13
Coconut tree,Liliopsida,6
Lesser Kudu,Mammalia,9
Black-headed Grosbeak,Aves,3
Atlantic blue marfin,Actinopterygii,1
Black Marsh Turtle,Reptilia,4
Black-crested Bulbul,Aves,3
Bar-winged Prinia,Aves,4
Koki,Magnoliopsida,10
Gouldian Finch,Aves,4
Favorito,Magnoliopsida,1
Tiger shark,Elasmobranchii,3
Bearded Pygmy Chameleon,Reptilia,1
Ruddy Shelduck,Aves,2
mai tae khar,Magnoliopsida,1
Elk,Mammalia,21
Black-headed Bulbul,Aves,1
Sea Cucumber,Holothuroidea,170
Earless monitor lizard,Reptilia,3
Blue Singapore,Arachnida,1
Giant baboon spider,Arachnida,1
White-crowned Shama,Aves,1
Green-winged Saltator,Aves,11
Brown Sea Cucumber,Holothuroidea,11
White-lipped island pit viper,Reptilia,1
Cuchi colorado,Magnoliopsida,1
Silver fir,Pinopsida,1
Black-naped Oriole,Aves,6
Okapi,Mammalia,5
Malayan Snail-eating Turtle,Reptilia,1
White-headed Munia,Aves,2
African Clawed Toad,Amphibia,1
Leafbirds,Aves,2
Slate-colored Solitaire,Aves,5
African Padouk,Magnoliopsida,5
Common Leopard Gecko,Reptilia,6
Kob,Mammalia,1
Spottail Shark,Elasmobranchii,1
Long-tailed Sibia,Aves,1
Mushroom Coral,Anthozoa,1
Western Spiny-tailed Iguana,Reptilia,5
Chinese Incense-cedar,Pinopsida,2
Mullets,Actinopterygii,2
Tocuyo Sparrow,Aves,1
Yellowhammer,Aves,1
Torrent Duck,Aves,1
Chinese Stripe-necked Turtle,Reptilia,7
Kratom,Magnoliopsida,4
Nyala,Mammalia,4
Lesser Mouse-deer,Mammalia,3
Grey Pileated Finch,Aves,1
Mountain Zebra,Mammalia,7
Hedgehog Seahorse,Actinopterygii,2
Rufous-collared Sparrow,Aves,7
Grass-green Tanager,Aves,1
Death adders,Reptilia,1
Cream-breasted Fruit Dove,Aves,1
Common Garter Snake,Reptilia,1
Mexican Giant Musk Turtle,Reptilia,7
Eastern Rock Lobster,Malacostraca,2
Gray Hooded Flycatcher,Aves,1
Domestic Dog,Mammalia,1
Painted wood turtle,Reptilia,4
Cockroaches and termites,Insecta,3
Lorises,Mammalia,18
Cachimbo,Magnoliopsida,4
Whitetip Reef Shark,Elasmobranchii,1
Mustela vison,Mammalia,4
Mule deer,Mammalia,2
Blue-and-yellow Tanager,Aves,2
