report_id,subject,transport_mode,detection
MOR28307,"1 live pangolin seized in Dhubri district, Assam - 2 suspects arrested",,Intelligence
MOR28308,"1 pangolin seized in Kharadi, Pune - 3 suspects arrested",,
MOR28471,"Tiger skin pieces and pangolin scales seized in Kuala Lipis, one suspect arretsed",,Operation
MOR28688,"300 rose-ringed parakeets seized in Kuruvikaran, Trichy",,
MOR28689,"90 softshell turtles seized from Bongaon market in Kolkata, one suspect arrested",,
MOR28690,"3,200 kg of sea cucumbers seized in Mandapam, Tamil Nadu - 2 arrested",Sea,Intelligence
MOR28709,"2 tusks seized in Kalabakan, 3 charged",,
MOR28715,3 ivory products (210g) seized in Yiwu,,
MOR30411,"A king cobra, a large-toothed ferret badger, a crab-eating mongoose, a small Asian mongoose, and 16 lesser Malay mouse-deers seized - Four hunters arrested (Cat Tien National Park, Dong Nai province)",,
MOR30412,"A live Asian golden cat seized at a resident’s house (Hanoi), one suspect convicted",,
MOR30440,"1 Sunda pangolin and 1 dead fox seized in Sop Cop, Son La Province",Land - Vehicle,
MOR30567,"1 live Chinese pangolin seized in Muong Te District, Lai Chau Province, 1 suspect convicted",,
MOR30783,"Red sanders logs seized in Kannelavagu forest, Kadapa District, five suspects arrested",Land - Vehicle,Intelligence
MOR33219,"25 kg of agarwood and birds seized in Kampung Padang Kunyit, Perak, 2 suspects arrested",,
MOR33220,"1 kg of agarwood and wild boar parts seized in Endau-Rompin National Park, 1 Cambodian national arrested",,
MOR33727,9 live Cheetah cubs seized from a boat in Somaliland - 4 arrested,Sea,
MOR33728,"2 live Cheetah cubs seized in Las Anod, Somaliland",,
MOR33729,"12 live Cheetah cubs seized from a boat in Lughaya, Somaliland",Sea,
MOR34234,"1 Leopard skin seized from an ashram in Satwas, Madhya Pradesh - 2 arrested",,Intelligence
MOR34238,"700 tortoises seized in Korukollu, Andhra Pradesh - 2 arrested",Land - Vehicle,
MOR34240,"1 Indian star tortoise seized from a pet shop in Vasant Vihar, Thane - 1 arrested",,
MOR34241,"4 dead monitor lizards and sambar deer antlers seized in Anekal, Karnataka - 1 arrested",,
MOR34246,17 reptiles including a baby crocodile seized at Kapikule border gate - 1 arrested,Land - Vehicle,
MOR34250,"1 sand boa seized in Shilphata, Thane - 1 arrested",,Intelligence
MOR34279,"1 dead spotted deer and 1 grey francolin seized in Pudhunaduvalur village, Tamil Nadu - 2 arrested",Land - Vehicle,Intelligence
MOR34290,"1 dead deer seized in Ashland, Oregon - 2 suspect arrested",Land - Vehicle,Intelligence
MOR34334,"Great Argus feathers, bearded pig meat and porcupine quills seized in Endau-Rompin Selai National Park - 2 Cambodian nationals convicted",,
MOR34973,"3 Elk carcasses seized in Colfax, Washington - 9 suspects charged",,
MOR40601,1364 live star tortoises seized at Chennai Airport,Air,
MOR40602,"2 kg of pangolin scales and 1 piece of leopard skin seized in Batabari, Jalpaiguri - 2 arrested",,Intelligence
MOR40642,"2 leopard skins seized in Mayurbhanj District, Odisha - 2 arrested",,Intelligence
MOR40692,"1 leopard skin, 1 elephant tusk & 1.77 kg pangolin scales seized in Baraghat, Odisha - 1 arrested",,Intelligence
MOR40776,"1 long-tailed macaque seized in Tan Phu District, Dong Nai",,Intelligence
MOR40777,"3,500 Conophytum plants seized in Elsiesrivier, Western Cape - 9 charged",,Operation
MOR40778,"1,090 kg of red sandalwood seized at Hong Kong International Airport",Air,Risk Assessment
MOR40779,"3,030 kg of red sandalwood seized at Hong Kong International Airport",Air,Risk Assessment
MOR40840,"3 highlevel traffickers convicted for smuggling blood pythons, ball pythons, and other regulated species",,Investigation
MOR40929,"13 tiger claws and 2 tiger teeth seized in Bandhavgarh Tiger Reserve, Madhya Pradesh - 3 arrested",Land - Vehicle,Intelligence
MOR40930,"72 live Indian softshell turtles seized in Natun Bazar, West Bengal",,
MOR40931,Skylarks seized in Dera Ismail Khan,,
MOR40932,"1 leopard cat skin and 1 dead Tokay gecko seized in Alipurduar, West Bengal - 1 arrested",,
MOR40970,"2 Indochinese tiger pelts, weapons seized in Thong Pha Phum National Park - 5 arrested",,Intelligence
MOR41031,1 tiger poached (teeth and whiskers removed) in Navegaon-Nagzira Tiger Reserve - 6 arrested,,
MOR41048,"456 kg ivory & 6,232 kg pangolin scales seized in Tien Sa Port, Da Nang - 1 convicted",Sea,Routine Inspection
MOR41120,"90 Vietnamese pond turtles, Indochinese box turtles and big-headed turtles seized in Bac Tu Liem District, Ha Noi - 2 convicted",Land - Vehicle,Routine Inspection
MOR41129,"46 kg pangolin scales seized in Bas de Gue-Gue district, Libreville - 1 charged",,Intelligence
MOR41134,88 kg of Kafue Lechwe meat seized in Blue Lagoon National Park - 5 convicted,,
MOR41136,"1 live pangolin seized in Baragoan Chhaka, Balangir District, Odisha - 1 arrested",,Intelligence
MOR41138,6 Orange-bellied leafbirds and 1 crimson sunbird seized in Kon Tum province,,Intelligence
MOR41176,"1 Leopard skin seized in Mandla, Madhya Pradesh - 2 arrested",,Operation
MOR41177,"1 live Manatee seized in Epe, Lagos",,Operation
MOR41194,"50 tusks seized in Boane district, Maputo",,
MOR41195,"1 female leopard killed in Muzaffarabad, Azad Kashmir",,
MOR41282,"5 impala carcasses seized at Senuko Ranch, Save Valley Conservancy - 4 arrested",,Routine Inspection
MOR41283,17 ivory pieces seized from shop in Central & Western District,,Investigation
MOR41285,"Man convicted with smuggling skulls, skeletons and taxidermy mounts into the US",,
MOR41286,"4.1 kg of pangolin scales seized in Sonapur, Assam - 7 arrested",Land - Vehicle,
MOR41308,50 kg tusks & 60 grey parrots seized in DRC,,
MOR41327,"5,579 Conophytum plants seized along N14, Springbok - 1 arrested",Land - Vehicle,Operation
MOR41473,"1 leopard skin, 3 claws, wild boar parts and porcupines seized in Sironj, Madhya Pradesh - 2 arrested",,
MOR41474,"1,878 flapshell turtles seized in Kanpur, Uttar Pradesh - 2 arrested",,Operation
MOR41475,"2 live civets (4 kg), 3 porcupines (9.5 kg), 1 live pangolin (6 kg), 1 soft-shell turtle (10 kg), 10 live turtles (5 kg), 2 dead civets (5 kg) and other parts seized at Bo Y Border Gate, Kon Tum",Land - Vehicle,Intelligence
MOR41482,"20 Big-headed turtles were seized in Mae Sot, Tak, Thailand",,
MOR41514,"1 Okapi skin seized in Kirumba, North Kivu - 1 arrested",,
MOR41515,38 kgs of ivory and 2 leopards skins seized in Butembo - 2 arrested,,Operation
MOR41516,1 Chimpanzee seized in Boende,,
MOR41565,"1 tiger skin, 4 tiger teeth, 18 claws, bones and a skull (14.4 kg) seized in Banderdewa, Assam - 3 arrested",,Operation
MOR41566,"6.3 kg of pangolin scales seized in Makum, Assam - 3 arrested",,
MOR41567,"235 turtles seized at Kamakhya Railway Station, Guwahati, Assam",,
MOR41569,"1 orangutan, 1 macaque, 2 bali starlings. 1 crested hawk-eagle and 2 hill mynas seized in Langkat district, North Sumatra - 1 politician arrested",,
MOR41576,"246 kg pangolin scales, monkeys and pangolins seized in Bonis, Bertoua - 1 arrested",,Operation
MOR41591,"Wood (planks, logs) seized in Kedougou ",,
MOR41621,"145 kg tusks & 839.4 kg pangolin scales seized in Adeba, Lekki - 2 convicted (2 charged)",Land - Vehicle,Intelligence
MOR41625,"14 ivory pieces (26 kg) seized in Korinda, Busia county - 2 arrested",Land - Vehicle,Intelligence
MOR41627,1 lion cub seized in Abuja - 2 arrested,,Intelligence
MOR41628,1 Macaque seized from a cafe in Tay Ninh,,
MOR41630,"19 kg of pangolin scales, 5 leopard claws and 4 star tortoises seized in Dantewara, Chhattisgarh - 5 arrested",,Operation
MOR41631,"2 Tokay geckos seized in Bagdogra, West Bengal - 1 arrested",,
MOR41633,4 pieces of ivory seized in Hwange - 2 arrested,,
MOR41635,"2,375 logs of wood seized at the Gelegele Seaport",,
MOR41687,2 rhesus macaques seized from a pagoda in Ha Nam,,Intelligence
MOR41688,"3.5 kg of pangolin scales, 2 leopard teeth, 29 leopard claws and 46 parakeets seized in Mayurbhanj District, Odisha - 1 arrested",,Intelligence
MOR41698,Logs seized in Cardamom Mountains Wildlife Sanctuary,,Routine Inspection
MOR41699,6447.2 kg of teak seized in Toungoo and Pyay districts,,
MOR41700,401.6 kg of teak seized in Hlegu Township,Land - Vehicle,
MOR41701,517 kg of timber seized in Yekyi Township,,
MOR41702,12597.1 kg of timber seized in Bago District,,
MOR41703,"43,820 kg of timber seized in Taungup Township, Rakhine",,
MOR41704,"3,166 kg of teak seized in Sagaing Region",,
MOR41705,"1,000 kg of red sandalwood seized in Meeraj Nagar, Sangli district, Maharashtra - 1 arrested",Land - Vehicle,Intelligence
MOR41706,"33 logs seized at Dudkapara, Odisha",,
MOR41714,Indian softshelled turtles seized at Varanasi Railway Station - 3 arrested,Land - Train,
MOR41737,3 wooden handicrafts (70 kg) seized in Shekou,,
MOR41738,3 ivory carvings (0.089 kg) seized in Wuhan,,X-ray
MOR41739,14 live beetles seized in Rongcheng,,X-ray
MOR41740,"3 baby leopards, 1 tiger skin, 3 clouded leopard skins, 2 leoaprd skins and 1 oryx horn seized in Sangkhla Buri district, Kanchanaburi - 3 arrested",,Test Purchase
MOR41774,1 live turtle seized in Thoduwawa - 2 arrested,Sea,
MOR41781,1 live Elongated tortoise (0.5 kg) seized in Ha Noi,,Intelligence
MOR41782,"1 tiger skin, paws and claws seized in buffer zone of Nagarhole Tiger Reserve, Karnataka - 6 arrested",,
MOR41797,"29 rhino horns (51.94 kg) seized in Senderwood, Bedfordview - 1 female arrested",,Intelligence
MOR41799,100 live monkeys seized in Saraburi,,
MOR41853,"180 soft-shelled turtles, 120 pacman turtles, 38,188 exotic fish and aquatic plants seized at Ninoy Aquino International Airport",,
MOR41856,"39 water monitors and 22 macaques were seized from a farm in Sam Ngam District, Pichit",,
MOR41882,6 ivory pieces seized in Koula-Moutou - 1 arrested,,Operation
MOR41890,"5 Deodar logs (0.6 m3/22 ft 3) seized in Najwan Kangan, Jammu and Kashmir",,
MOR41891,Pickup truck carrying illegal timber seized in Jorhat - 1 arrested,Land - Vehicle,
MOR41911,8 shark fins (0.2 kg) and fish (6.5 kg) seized at Codbay Fishery Harbour - 6 arrested,Sea,Routine Inspection
MOR41912,82 shark fins (0.94 kg) seized at Beruwala Fishery Harbour - 7 arrested,Sea,Routine Inspection
MOR41913,121 kg of shark meat seized at Negombo Fishery Harbour - 5 arrested,Sea,
MOR41914,30 kg of turtle meat seized in Uluhitiyawa - 2 arrested,,Intelligence
MOR41915,1.25 kg of shark fins seized at Beruwala Fishery Harbour - 5 arrested,Sea,Routine Inspection
MOR41916,0.85 kg of shark fins seized at Beruwala Fishery Harbour - 4 arrested,Sea,Routine Inspection
MOR41917,1.8 kg of shark fins seized at Beruwala Fishery Harbour - 7 arrested,Sea,Routine Inspection
MOR41918,21 shark fins (0.7 kg) seized at Beruwala Fishery Harbour - 4 arrested,Sea,
MOR41926,11 tusks seized in Tete - 2 arrested,,
MOR41927,"1 live Chinese pangolin seized in Beki River, Barpeta, Assam - 2 arrested",,
MOR41938,"7 live parakeets seized in Surat, Gujarat",,Operation
MOR41939,30 Alexandrine parakeet chicks seized in West Bengal - 2 arrested,,Operation
MOR41990,"82 square ft of timber seized in Kokernag, Jammu and Kashmir",,Intelligence
MOR41996,"1.66 kg of pangolin scales seized in Haldwani District, Uttarakhand - 1 arrested",,Operation
MOR42017,15 tusks seized in Cote d'Ivoire - 2 arrested,,Operation
MOR42018,1 leopard skin and 1 civet skin seized in Cameroon - 2 arrested,,Operation
MOR42045,1 live female baby chimp and 1 dead seized in Kasongo,,Intelligence
MOR42076,"2 cobras, 20 box turtles, 5 mountain turtles, bear paws and porcupine seized in Tan Chau district, Tay Ninh",,
MOR42151,"2 jars of snake venom seized in Kishanganj, Bihar - 3 arrested",,
MOR42158,"287 kg Sandalwood & 5 tusks (10.6 kg) seized in Manga, Voi - 4 charged",,
MOR42166,1 male Temminck's pangolin seized in Limpopo,,
MOR42183,"1 live pangolin seized in Bargarh District, Odisha - 1 arrested",,Intelligence
MOR42188,"1.5 kg of pangolin scales seized in Koteshwor, Kathmandu - 2 arrested",,
MOR42193,"1 live red sand boa seized in Tirunelveli, Tamil Nadu - 6 arrested",,
MOR42194,"1 ivory piece (0.136 kg) seized in Bagdogra, West Bengal - 2 arrested",,Operation
MOR42216,2 tusks (14.2 kg) seized in Bengaluru - 8 arrested,Land - Vehicle,Intelligence
MOR42217,"Deer meat seized in Matialli, Jalpaiguri, West Bengal - 2 arrested",,
MOR42218,36 Ornate Lorikeet's seized in Makassar,,Intelligence
MOR42251,"1 leopard skin seized in Nagpur, Maharashtra - 3 arrested",,Operation
MOR42280,4 pangolins (16 kg) seized in Quang Tri Province - 1 convicted,,
MOR42298,"1 tiger carcass, 1 tiger skeleton, 2 tiger skins, 1 antelope head, 1,578 packages of tiger bone glue and other wildlife seized in Pho Yen, Thai Nguyen - 3 convicted",,Intelligence
MOR42299,"2 dead Asian Golden cats (23.5 kg) and 1 pangolin (1 kg) seized in Quy Chau District, Nghe An - 1 arrested",Land - Vehicle,Operation
MOR42303,1.4 kg of ivory handcrafted jewellery seized in Kien Giang - 2 businesses fined,,
MOR42315,"35 ivory pieces (30 kg) seized in Jaipur, Rajasthan - 3 arrested",Land - Vehicle,Intelligence
MOR42316,1 live pangolin seized in Madhya Pradesh - 6 arrested,,
MOR42317,1 leopard cat seized in Viet Nam,,Intelligence
MOR42357,"1 wild elephant slain for tusks in Kabang forest reserve, Yala",,
MOR42371,2 ivory scroll heads seized in Guangzhou,,X-ray
MOR42372,1 ivory carving (0.075 kg) seized in Hefei,,X-ray
MOR42373,54 ivory carvings (5.05 kg) seized in Beijing,,
MOR42374,4 ivory beaded necklaces (0.1487 kg) seized in Qingdao,,
MOR42375,12 ivory scroll heads seized in Wenzhou,,X-ray
MOR42376,"2 giant clam shell products, 1 tortoise shell product and 3 ivory carvings seized in Chengyang, Qingdao",,Intelligence
MOR42377,"2 ivory bracelets (0.03 kg) seized at Mohan Internatioal Courier post centre, Mengla",,X-ray
MOR42378,1 ivory fan (0.06 kg) seized in Maoming,,X-ray
MOR42379,20 ivory scroll heads and 1 ivory bangle (0.571 kg) seized in Hangzhou,,X-ray
MOR42380,2 ivory scroll heads seized in Guangzhou,,
MOR42381,2 ivory scroll heads (0.655 kg) seized in Tianjin,,
MOR42382,1 ivory product seized in Hefei,,X-ray
MOR42383,52 ivory piano keys (0.24293 kg) seized in at Ningbo Meishan Port,Sea,
MOR42384,2 pieces of ivory (0.052 kg) seized at Guangzhou Baiyun airport,Air,X-ray
MOR42386,"1 Leopard killed from a trap in Bhiruda, Odisha",,
MOR42387,"1 live pangolin seized in Tol Khurd, Raigad District, Maharashtra - 5 arrested",,Intelligence
MOR42388,"1 live pangolin (34 kg) seized in Rudrapur, Uttarakhand - 1 arrested",,Intelligence
MOR42389,"1 leopard skin seized in Deogarh, Odisha - 5 arrested",,Intelligence
MOR42390,"47.48 kg of pangolin scales seized in Jalpaiguri district, West Bengal - 3 arrested",,Intelligence
MOR42392,"1 live pangolin seized in Gariyaband, Chhattisgarh - 1 arrested",,
MOR42393,"5.5 kg pangolin scales seized in Wagle estate area, Thane, Maharashtra - 1 arrested",,Intelligence
MOR42394,"1 tiger killed by electrocution in Bhandara, Maharashtra",,
MOR42395,"1 leopard found dead in Bandhavgarh Tiger Reserve, Madhya Pradesh",,
MOR42396,"1 live pangolin seized in Borigumma, Koraput, Odisha - 2 arrested",,Intelligence
MOR42411,Rosewood guitars seized at Yantian Port,,
MOR42412,10 wooden blocks and 15 wooden bracelets seized at Guangzhou Baiyun Airport,Air,X-ray
MOR42413,6 wooden bracelets and 1 wooden fan seized at Guangzhou Baiyun Airport,,
MOR42414,"Timber seized from a truck in Pakhriguri, Alipurduar, West Bengal - 3 arrested",,
MOR42417,12 dwarf crocodiles seized in Nyong-et-So’o Department,Land - Vehicle,Routine Inspection
MOR42422,"2 leopard skins seized in Kasara and Thane, Maharashtra - 4 arrested",,
MOR42424,"1 leopard skin seized in Nashik, Maharashtra - 11 arrested",,
MOR42425,"1 leopard skin seized in Dhamtari, Chhattisgarh - 3 arrested",Land - Vehicle,Intelligence
MOR42427,"1 male leopard killed by electrocution in Bilaspur, Chhattisgarh - 5 arrested",,
MOR42428,"Wild boar parts seized in Bilaspur, Chhattisgarh - 2 arrested",,
MOR42429,"1 leopard skin seized in Khanapur, Telangana - 2 arrested",,Intelligence
MOR42431,"21 leopard whiskers, 13 nails and 12 teeth seized in Mouza-Taregaon, Maharashtra - 1 arrested",,Intelligence
MOR42433,"10 tiger claw pendants seized in Mysuru, Karnataka - 2 arrested",,Intelligence
MOR42434,"1 live pangolin seized in Mangapanga, Kandhamal, Odisha - 2 arrested",,Intelligence
MOR42435,"Tiger skin, claws, legs and whiskers seized in Madikeri, Karnataka - 6 charged",,
MOR42436,"2.5 kg of pangolin scales seized in Nagpur, Maharashtra - 3 arrested",,Intelligence
MOR42437,"1 leopard skin seized in Rajnandgaon district, Chhattisgarh - 3 arrested",Land - Vehicle,
MOR42438,"1 leopard skin seized in Becharbagh, Sirmaur, Himachal Pradesh - 1 arrested",,
MOR42439,"1 leopard skin seized in Paralakhemundi, Odisha - 1 arrested",,Intelligence
MOR42440,"1 live pangolin seized in Deogarh, Odisha - 1 arrested",,
MOR42441,"2 live pangolins seized in Govardhan, West Champaran, Bihar - 2 arrested",,Intelligence
MOR42442,"Deer horns seized in Aamgachi, Bihar - 2 arrested",,
MOR42443,"1.9 kg of pangolin scales, swallows nest and hornbill beak seized in North Sumatra - 2 arrested",,
MOR42444,"Sumatran tiger bones and 0.343 kg of pangolin scales seized in Lembah Sabil Subdistrict, Abdya, Aceh - 3 convicted",,Intelligence
MOR42445,"Ivory seized in Joska area, Nairobi - 1 arrested",,Operation
MOR42446,"Pangolin scales & tusks seized in Taveta, Taita Taveta County - 1 arrested",,
MOR42447,1 live pangolin seized in Rumphi - 6 arrested,,
MOR42448,1 live pangolin seized in Mangochi - 5 arrested,,Intelligence
MOR42452,"4.95 kg of pangolin scales seized in Niah, Miri - 1 fined",,
MOR42453,3 pangolins and 2.95 kg of pangolin scales seized in Miri - 1 convicted,,
MOR42455,"22.14 kg of pangolin scales, blue pigeons and turtles seized in Sibu, Sarawak - 1 convicted",,Operation
MOR42456,oceanic whitetip fins and silky shark fins seized at Dikovta Fishery Harbour - 8 arrested,Sea,
MOR42458,3 tigers seized in Guerrero,,
MOR42459,"2 leopard cats seized at Empress Market, Karachi - 1 arrested",,Intelligence
MOR42460,"1 Amur tiger killed in Krasnoarmeysky District, Primorye",,
MOR42461,"1 Amur tiger carcass found in Solontsovy, Khabarovsk",,
MOR42462,"Amur tiger skin and parts seied in Novokreshchenka, Primorye",Land - Vehicle,
MOR42484,1 live tiger (220 kg) seized at a private residence in Dien Bien - 3 charged,,
MOR42485,44.2 kg of totoaba swim bladder seized at Tan Son Nhat International Airport,Air,
MOR42487,"4 ivory pieces seized in Tirrupur, Tamil Nadu - 3 arrested",Land - Vehicle,Intelligence
MOR42529,1 elephant poisoned in Lupane District,,Routine Inspection
MOR42560,10 turtles seized from a temple in Ho Chi Minh,,Intelligence
MOR42561,42 shark fins (2 kg) and 5 kg of dried meat seized at Negambo Fishery Harbour - 6 arrested,Sea,
MOR42562,"Tiger skins, animal teeth and snake skins seized in Thane, Maharashtra - 3 arrested",,
MOR42638,"1 frozen tiger carcass (200 kg) seized in Muong So, Phong Tho district, Lai Chau - 3 arrested",Land - Vehicle,
MOR42657,1.2 kg of dried totoaba swim bladders seized at Hong Kong International Airport,Air,Risk Assessment
MOR42693,"2 chimps seized in Mbadoumou, Yaounde - 1 arrested",,Operation
MOR42695,6 tusks seized in Lome - 3 charged,,
MOR42696,2 Elephant tusks seized in Libreville - 3 arrested,,Operation
MOR42698,5 tusks & 1 elephant tail seized in Bondoukou - 1 convicted,,
MOR42699,"5 tusks, 1 pangolin, chimp meat seized in South Cameroon - 6 arrested",,Operation
MOR42702,8 ivory pieces (55.6 kg) seized in Franceville - 2 arrested,,Intelligence
MOR42762,"3 kg of pangolin scales seized in Badwara, Katni, Madhya Pradesh - 1 arrested",Land - Vehicle,Operation
MOR42775,"1 tiger found dead (parts missing) near the Bawanthadi river, Bhandara, Maharashtra",,
MOR42776,Tiger parts seized in Maharashtra - 5 arrested,,
MOR42859,"1 Tiger cub (for sale on Facebook) seized in Bang Yai district, Nonthaburi - 4 arrested",Land - Vehicle,Operation
MOR42889,32 pieces of elephant tusks seized in Bukavu - 4 arrested,,
MOR42890,1 warthog carcass seized in the Salonga National Park,,
MOR42891,2 leopard skins and 3 Aardvark feet seized in Senegal - 3 arrested,,
MOR42892,328 kg of pangolin scales seized - 1 arrested,,
MOR42893,"1 elephant tusk, 1 tail, 8 pieces of hide, 1 hippo skull & teeth, & 8 crocodile skins seized - 4 arrested",Land - Vehicle,Operation
MOR42896,1 mandrill seized in Douala - 1 arrested,,Operation
MOR42897,"2 gorilla skulls, 1 chimp skull and 5 other primate skulls seized in Douala - 1 arrested",,Online
MOR42903,24 cobras & 4 pythons (70 kg) seized from a motorbike & private residence in Lai Chau Province,Land - Vehicle,
MOR42905,"1 Sunda pangolin (2.4 kg) seized from a motorbike in Thuong Xuan District, Thanh Hoa - 2 charged",Land - Vehicle,
MOR42906,"122 African grey parrots seized in Bunagana, Kisoro District - 1 convicted",,Investigation
MOR42909,"1,090 taxidermy animals incl. elephants, rhinos, polar bears & snow leopards, & 198 elephant tusks found in warehouse in Betera, Valencia",,Intelligence
MOR42933,2 tusks seized in Gabon - 1 arrested,Land - Vehicle,Operation
MOR42935,"4 tusks, 1 elephant tail, 3 leopard skins & 5 teeth seized in Oyem - 4 arrested",,Operation
MOR42941,90 kg pangolin scales seized in Central Region - 5 arrested,,Operation
MOR42955,"3.1 kg of pangolin scales seized in Khatima, Uttarakhand - 2 arrested",,
MOR42956,"4 ivory carvings seized in Begampur, Hoogly, West Bengal - 1 arrested",,Intelligence
MOR42988,"3 Sumatran tigers found dead in East Aceh, Aceh - 2 convicted",,Intelligence
MOR42989,"2 game rangers charged for corruption, money laundering and fraud related to rhino poaching",,
MOR42990,"1 leopard skin seized in Karanjia, Odisha - 7 arrested",,Operation
MOR42991,4 kg of pangolin scales seized in Bhubaneswar - 1 arrested,,
MOR42992,"2 tusks (5 kg) seized in Keonjhar, Odisha - 1 arrested",,Operation
MOR42993,"1 Elephant carcass found in Balikiari reserve forest, Odisha",,Intelligence
MOR42994,"2 leopard skins, 1 deer skin, deer antlers, pangolin scales and other wildlife parts seized in Titigaon, Odisha - 1 arrested",,
MOR42995,3 suspected poachers arrested for entering Sahyadri Tiger Reserve with weapons,,
MOR42996,2 ivory carvings (0.125 kg) seized in Guangzhou,,X-ray
MOR42997,"3 kg of pangolin scales seized in Thane, Maharashtra - 1 arrested",,Intelligence
MOR42998,"Tiger teeth, claws and skin seized in Kushalnagar, Karnataka - 7 arrested",,
MOR42999,"2 leopards dead from suspected poisoning in Kotagiri, Nilgiris, Tamil Nadu",,
MOR43000,"4 leopard teeth, 12 leopard claws and 109 leopard bones (including skull) seized in Chariduar, Sonitpur, Assam - 1 arrested",,Intelligence
MOR43001,"1 leopard cub seized in Abbottabad, Khyber Pakhtunkhwa - 3 arrested",,
MOR43002,1 leopard skin seized in Lalitpur - 1 arrested,Land - Vehicle,
MOR43003,"1 rhino horn seized in Dokmoka, Karbi Anglong, Assam - 2 arrested",,Investigation
MOR43004,"1 tiger killed by electrocution in Balaghat, Madhya Pradesh - 4 arrested",,
MOR43005,1 tiger cub seized in Saratov - 1 fined,,
MOR43006,"1 leopard skin seized in Nashik, Maharashtra",,
MOR43007,"1 live pangolin seized at Mwambwanjira Trading Centre, Mangochi - 1 convicted",,Intelligence
MOR43008,"0.6 kg of pangolin scales seized along GS Road, Guwahati, Assam - 3 arrested",,
MOR43009,"1 kg of pangolin scales seized in Sonaighuli, Guwahati, Assam",,
